Country	Date	Population	Cases	Deaths	Cases_Per_Million	Deaths_Per_Million	Code	a	b	Deaths	Deaths_Doubling_Time	Factor at t+1	Deaths at t+1	Factor at t+7	Deaths at t+7	Days till deaths/pop of Italy
Austria	2020-09-01	8902600	27642	734	3124	82	AT	128	130.240	0.211	3.280	1.235	158	4.390	561	1.7
Belgium	2020-09-01	11515793	85487	9897	7484	866	BE	705	684.581	0.227	3.060	1.254	884	4.882	3442	-2.3
Canada	2020-09-01	37894799	131422	9179	3546	247	CA	101	99.024	0.182	3.799	1.200	121	3.586	362	1.3
Czechia	2020-09-01	10649800	25117	425	2363	39	CZ	31	30.555	0.296	2.342	1.344	41	7.941	246	2.2
Denmark	2020-09-01	5822763	17509	625	3020	107	DK	90	91.935	0.147	4.702	1.159	104	2.807	252	2.7
Finland	2020-09-01	5521158	8142	336	1475	60	FI	17	17.082	0.239	2.900	1.270	21	5.329	90	4.6
France	2020-09-01	67022000	323968	30666	4836	457	FR	3532	3542.954	0.150	4.615	1.162	4104	2.861	10106	-0.5
Germany	2020-09-01	83149300	246015	9307	2966	112	DE	775	788.411	0.210	3.304	1.233	955	4.342	3364	2.0
Greece	2020-09-01	10768477	10524	271	981	25	GR	49	49.013	0.134	5.180	1.143	56	2.551	125	11.3
Hungary	2020-09-01	9772756	6257	616	640	63	HU	16	15.860	0.095	7.276	1.100	17	1.948	31	20.4
Iran	2020-09-01	83183741	376894	21672	4607	264	IR	2898	2919.445	0.054	12.937	1.055	3057	1.455	4216	-0.6
Italy	2020-09-01	60317546	270189	35491	4471	587	IT	12428	12584.993	0.083	8.382	1.086	13499	1.784	22172	0.0
Japan	2020-09-01	126150000	69023	1313	545	10	JP	56	56.683	0.036	19.213	1.037	58	1.287	72	58.3
Netherlands	2020-09-01	17424978	73802	6260	4283	363	NL	1040	1045.413	0.169	4.094	1.184	1231	3.271	3401	0.3
Portugal	2020-09-01	10276617	58243	1824	5664	177	PT	160	166.532	0.195	3.561	1.215	194	3.907	625	-1.2
South Korea	2020-09-01	51709098	20449	326	396	6	KR	162	163.909	0.043	16.091	1.044	169	1.352	219	56.3
Spain	2020-09-01	46733038	470973	29152	10079	623	ES	8464	8692.025	0.134	5.161	1.144	9680	2.560	21670	-6.1
Sweden	2020-09-01	10333456	84521	5813	8300	570	SE	180	173.859	0.164	4.221	1.178	212	3.157	568	-3.8
Switzerland	2020-09-01	8570146	42393	2011	4977	236	CH	433	428.494	0.165	4.209	1.179	510	3.167	1371	-0.7
Turkey	2020-09-01	83154997	271705	6417	3300	77	TR	214	210.374	0.215	3.222	1.240	265	4.509	964	1.4
United Kingdom	2020-09-01	67545757	339415	41592	5104	625	GB	2429	2467.329	0.195	3.546	1.216	2953	3.928	9541	-0.7
United States	2020-09-01	328239523	6073840	184664	18564	564	US	5367	5340.130	0.224	3.091	1.251	6716	4.805	25790	-6.3
